command started at 2026-03-09 04:32:43+00:00, finished at 2026-03-09 04:32:53+00:00 with exitcode=0
LAST SEEN   TYPE      REASON      OBJECT                                     MESSAGE
43m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-24825   Created container: runner
51m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-248j5   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-248j5 to aks-heavy-22317745-vmss000002
51m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-248j5   Pulling image "ghcr.io/actions/actions-runner:latest"
51m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-248j5   Started container runner
36m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-24fqv   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-24fqv to aks-heavy-22317745-vmss000002
36m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-24fqv   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 81ms (81ms including waiting). Image size: 540108575 bytes.
2m1s        Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-24gs5   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-24gs5 to aks-heavy-22317745-vmss000002
47m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-24hsv   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-24hsv to aks-heavy-22317745-vmss000002
47m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-24hsv   Pulling image "ghcr.io/actions/actions-runner:latest"
47m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-24hsv   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 72ms (72ms including waiting). Image size: 540108575 bytes.
47m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-24hsv   Created container: runner
47m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-24hsv   Started container runner
57m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-24r9z   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-24r9z to aks-heavy-22317745-vmss000002
